Teorema,Prova
"A->~B, B |- ~A","
Prova:""""

1. A -> ~B pre
2. B pre
3. {A hip
4. ~B ->e 1,3
5. @ ~e 2,4
}
6. ~A ~i 3-5

""""
"
A|B |- (~A->B)&(~B->A),"
Prova:""""

1. A | B pre
2. {~A hip
3. {A hip
4. @ ~e 2,3
5. B @e 4
}
6. {B hip
7. B copie 6
}
8. B |e 1,3-5,6-7
}
9. ~A -> B ->i 2-8
10. {~B hip
11. {A hip
12. A copie 11
}
13. {B hip
14. @ ~e 10,13
15. A @e 14
}
16. A |e 1,11-12,13-15
}
17. ~B -> A ->i 10-16
18. (~A -> B) & (~B -> A) &i 9,17

""""
"
(A->C)|(B->C) |- (A&B)->C,"
Prova:""""

1. (A -> C) | (B -> C) pre
2. { A & B hip
3. A &e 2
4. B &e 2
5. { A -> C hip
6. C ->e 3,5
}
7. { B -> C hip
8. C ->e 4,7
}
9. C |e 1, 5-6, 7-8
}
10. (A & B) -> C ->i 2-9

""""
"
|- (A&(B|C))->((A&B)|(A&C)),"
Prova:""""

1.{ A & (B | C) hip
2. A &e 1
3. B | C &e 1
4.{ B hip
5. A & B &i 2,4
6. (A & B) | (A & C) |i 5
}
7.{ C hip
8. A & C &i 2,7
9. (A & B) | (A & C) |i 8
}
10. (A & B) | (A & C) |e 3,4-6,7-9
}
11. (A & (B | C)) -> ((A & B) | (A & C)) ->i 1-10

""""
"
|- A->(~A->B),"
Prova:""""

1.{ A hip
2. {~A hip
3. @ ~e 1,2
4. B @e 3
}
5. ~A -> B ->i 2-4
}
6. A -> (~A -> B) ->i 1-5

""""
"
|- (A->C)->((B->C)->((A|B)->C)),"
Prova:""""

1. { A -> C hip
2. { B -> C hip
3. { A | B hip
4. { A hip
5. C ->e 1,4
   }
6. { B hip
7. C ->e 2,6
   }
8. C |e 3,4-5,6-7
   }
9. (A | B) -> C ->i 3-8
   }
10. (B -> C) -> ((A | B) -> C) ->i 2-9
   }
11. (A -> C) -> ((B -> C) -> ((A | B) -> C)) ->i 1-10

""""
"
|- ~(A->B)->(A&~B),"
Prova:""""

1. { ~(A -> B) hip
2. { ~ (A & ~B) hip
3. { A hip
4. { ~B hip
5. A & ~B &i 3,4
6. @ ~e 5,2
      }
7. B raa 4-6
   }
8. A -> B ->i 3-7
9. @ ~e 8,1
    }
10. A & ~B raa 2-9
   }
11. ~(A -> B) -> (A & ~B) ->i 1-10

""""
"
|- (A&B)->~(A->~B),"
Prova:""""

1. { A & B hip
2. { A -> ~B hip
3. A &e 1
4. ~B ->e 2,3
5. B &e 1
6. @ ~e 4,5
     }
7. ~(A -> ~B) ~i 2-6
   }
8. (A & B) -> ~(A -> ~B) ->i 1-7

""""
"
|- A->(B->(A&B)),"
Prova:""""

1. { A hip
2. { B hip
3. A copie 1
4. A & B &i 3,2
    }
5. B -> (A & B) ->i 2-4
   }
6. A -> (B -> (A & B)) ->i 1-5

""""
"
|- ((A->B)&(C->D))->((A&C)->(B&D)),"
Prova:""""

1. { (A -> B) & (C -> D) hip
2. { A & C hip
3. A &e 2
4. C &e 2
5. A -> B &e 1
6. B ->e 5,3
7. C -> D &e 1
8. D ->e 7,4
9. B & D &i 6,8
   }
10. (A & C) -> (B & D) ->i 2-9
    }
11. ((A -> B) & (C -> D)) -> ((A & C) -> (B & D)) ->i 1-10

""""
"
|- (A->B)->(~B->~A),"
Prova:""""

1. { A -> B hip
2.   { ~B hip
3.     { A hip
4.        B ->e 3,1
5.        @ ~e 4,2
}
6.     ~A ~i 3-5
  }
7.  ~B -> ~A ->i 2-6
}
8. (A -> B) -> (~B -> ~A) ->i 1-7

""""
"
~A->B |- ~B->A,"
Prova:""""

1. ~A -> B pre
2. { ~B hip
3.  {  ~A hip
4.     B ->e 3,1
5.     @ ~e 4,2
}
6.  A raa 3-5
}
7. ~B -> A ->i 2-6

""""
"
(A&B)->C |- A->(B->C),"
Prova:""""

1. A & B -> C pre
2. { A hip
3. { B hip
4. A & B &i 2,3
5. C ->e 4,1
}
6. B -> C ->i 3-5
}
7. A -> (B -> C) ->i 2-6

""""
"
|- ((A->B)&(B->C))->(A->C),"
Prova:""""

1.  { (A -> B) & (B -> C)  hip
2.    { A hip
3.       A -> B &e 1
4.       B -> C &e 1
5.       B ->e 2,3
6.       C ->e 5,4
 }
7.    A -> C ->i 2-6
  }
8. ((A -> B) & (B -> C)) -> (A -> C) ->i 1-7

""""
"
(A&B)|(A&~B) |- A,"
Prova:""""

1. (A & B) | (A & ~B) pre
2. { A & B hip
3. A &e 2
}
4. { A & ~B hip
5. A &e 4
}
6. A |e 1, 2-3, 4-5

""""
"
A->B |- (A|C)->(B|C),"
Prova:""""

1. A -> B pre
2. { A | C hip
3. { A hip
4. B ->e 3,1
5. B | C |i 4
}
6. { C hip
7. B | C |i 6
}
8. B | C |e 2, 3-5, 6-7
}
9. (A | C) -> (B | C) ->i 2-8

""""
"
(A->B)&(B->C) |- ~C->~A,"
Prova:""""

1. (A -> B) & (B -> C) pre
2. A -> B &e 1
3. B -> C &e 1
4. { ~C hip
5. { A hip
6. B ->e 5,2
7. C ->e 6,3
8. @ ~e 7,4
}
9. ~A ~i 5-8
}
10. ~C -> ~A ->i 4-9

""""
"
(A->B)&(C->D) |- (A&C)->(B&D),"
Prova:""""

1. (A -> B) & (C -> D) pre
2.  { A & C hip
3.  A -> B &e 1
4.  C -> D &e 1
5. A &e 2
6. B ->e 5,3
7. C &e 2
8. D ->e 7,4
9. B & D &i 6,8
}
10. (A & C) -> (B & D)  ->i 2-9

""""
"
A->B |- (A&C)->(B&C),"
Prova:""""

1. A -> B pre
2. { A & C hip
3. A &e 2
4. B ->e 3,1
5. C &e 2
6. B & C &i 4,5
}
7. (A & C) -> (B & C) ->i 2-6

""""
"
~P |- ~((P&Q)&R),"
Prova:""""

1. ~P		pre
2. { ((P & Q) & R) hip
3. P & Q	&e 2
4. P		&e 3
5. @ 		~e 4, 1
   }
6. ~((P & Q) & R) ~i 2-5

""""
"
(P&Q)&R |- Q,"
Prova:""""

1.( P & Q) & R pre
2.P & Q 	&e 1
3.Q	&e 2

""""
"
P&Q |- Q&P,"
Prova:""""

1. P & Q pre
2. Q &e 1
3. P &e 1
4. Q & P &i 2,3

""""
"
"Q&P, R |- P&(R&Q)","
Prova:""""

1. Q&P		pre
2. R		pre
3. P		&e 1
4. Q		&e 1
5. R&Q		&i 2,4
6.P&(R&Q)	&i 3,5	

""""
"
"P&Q, (R&S)&T |- (P&S)&T","
Prova:""""

1. P&Q		pre
2. (R&S)&T	pre
3. P		&e 1
4. R&S		&e 2
5. T		&e 2
6. S		&e 4
7. P&S		&i 3,6
8. (P&S)&T	&i 7,5

""""
"
P&(Q&R) |- (R&P)&Q,"
Prova:""""

1. P&(Q&R)	pre
2. Q&R		&e 1
3. R		&e 2
4. P		&e 1
5. Q		&e 2
6. R&P		&i 3,4
7. (R&P) & Q	&i 6,5

""""
"
"P->Q, Q->R |- P->R","
Prova:""""

1. P->Q		pre
2. Q->R		pre
3. { P		hip
4. Q		->e 3,1
5. R		->e 4,2
}
6. P -> R	->i 3-5

""""
"
|- P->((P->Q)->Q),"
Prova:""""

1. { P			hip
2. {P -> Q		hip
3. Q			->e 1,2
}
4.(P->Q) -> Q		->i 2-3
}
5. P->((P->Q)->Q)	->i 1-4

""""
"
(P->Q)->(P->R) |- Q->(P->R),"
Prova:""""

1. (P -> Q) -> (P -> R)		pre
2. { Q				hip
3. { P				hip
4. Q				copie 2
}
5. P -> Q			->i 3-4
6. P -> R 			->e 5,1
}
7. Q -> (P -> R)		->i 2-6

""""
"
(P->Q)->P |- Q->P,"
Prova:""""

1. (P -> Q) -> P		pre
2. { Q				hip
3. { P				hip
4. Q				copie 2
}
5. P -> Q			->i 3-4
6. P				->e 5,1
}
7. Q -> P			->i 2-6

""""
"
P->(Q->R) |- Q->(P->R),"
Prova:""""

1. P -> (Q -> R)	pre
2. { Q			hip
3.  { P			hip
4.	Q -> R		->e 3,1
5.	R		->e 2,4
	}
6. P -> R		->i 3-5
}
7. Q -> (P->R)		->i 2-6

""""
"
"P->(Q->R), P->Q |- P->R","
Prova:""""

1. P -> (Q -> R)		pre
2. P -> Q			pre
3. { P				hip
4. Q -> R			->e 3,1
5. Q				->e 3,2
6. R				->e 5,4
}
7. P -> R			->i 3-6

""""
"
(P->P)->Q |- (Q->R)->R,"
Prova:""""

1. (P -> P) -> Q		pre
2. { Q -> R			hip
3. { P				hip
4.   P				copie 3
}
5. P -> P			->i 3-4
6. Q				->e 5,1
7. R				->e 6,2
}
8. (Q -> R) -> R		->i 2-7

""""
"
P&Q |- P->Q,"
Prova:""""

1. P & Q 		pre
2. { P			hip
3.   Q			&e 1
}
4. P -> Q		->i 2-3

""""
"
|- (P&Q)->P,"
Prova:""""

1. { P & Q		hip
2. P			&e 1
}
3. P & Q -> P		->i 1-2

""""
"
P->(Q&R) |- P->Q,"
Prova:""""

1. P -> ( Q & R)		pre
2. { P				hip
3. Q & R			->e 2,1
4. Q				&e 3
}
5. P -> Q			->i 2-4

""""
"
((P&Q)->Q)->(Q->P) |- Q->P,"
Prova:""""

1. (( P&Q) -> Q) -> (Q->P)	pre
2. { P & Q			hip
3. Q				&e 2
}
4. (P&Q) -> Q			->i 2-3
5. Q -> P			->e 1,4

""""
"
(P&Q)->R |- P->(Q->R),"
Prova:""""

1. (P&Q) -> R		pre
2. { P			hip
3. { Q			hip
4. P & Q		&i 2,3
5. R			->e 4,1
}
6. Q -> R		->i 3-5
}
7. P -> ( Q -> R )	->i 2-6

""""
"
(P->Q)&(P->R) |- P->(Q&R),"
Prova:""""

1. ( P -> Q ) & (P -> R)		pre
2. { P					hip
3. P -> Q				&e 1
4. P-> R				&e 1
5. Q					->e 2,3
6. R					->e 2,4
7. Q & R				&i 5,6
}
8. P -> ( Q & R)			->i 2-7

""""
"
P->(Q&R) |- (P->Q)&(P->R),"
Prova:""""

1. P -> (Q & R)			pre
2. { P				hip
3. Q & R			->e 2,1
4. Q				&e 3
}
5. P -> Q			->i 2-4
6. { P				hip
7. Q & R			->e 6,1
8. R				&e 7
}
9. P -> R			->i 6-8
10. (P->Q) & (P->R)		&i 5,9

""""
"
P|Q |- Q|P,"
Prova:""""

1. P | Q		pre
2. {P			hip
3. Q | P		|i 2
}
4. {Q			hip
5. Q | P		|i 4
}
6. Q | P		|e 1,2-3,4-5

""""
"
P|Q |- P|(Q|R),"
Prova:""""

1. P | Q		pre
2. { P			hip
3. P | ( Q | R )	|i 2
}
4.{ Q			hip
5. Q | R		|i 4
6. P | ( Q | R )	|i 5
}
7. P | ( Q | R )	|e 1, 2-3, 4-6

""""
"
(P|Q)|R |- P|(Q|R),"
Prova:""""

1. (P | Q) | R		pre
2. { (P | Q)		hip
3. { P			hip
4. P | (Q | R )		|i 3
}
5.{ Q			hip
6. Q | R		|i 5
7. P | (Q | R )		|i 6
}
8. P | (Q | R )		|e 2,3-4,5-7
}
9. {R			hip
10. Q | R		|i 9
11. P | (Q | R )	|i 10
}
12. P | (Q | R )	|e 1,2-8,9-11

""""
"
(P|Q)|(R|S) |- (P|S)|(R|Q),"
Prova:""""

1. (P | Q) | (R | S)		pre
2. { (P | Q)			hip
3. { P				hip
4. P | S			|i 3
5. (P | S) | (R | Q )		|i 4
}
6. { Q				hip
7. R | Q			|i 6
8. (P | S) | (R | Q )		|i 7
}
9. (P | S) | (R | Q )		|e 2,3-5,6-8
}
10. { (R | S)			hip
11. { R				hip
12. R | Q			|i 11
13. (P | S) | (R | Q )		|i 12
}
14. { S				hip
15. (P | S)			|i 14
16. (P | S) | (R | Q )		|i 15
}
17. (P | S) | (R | Q )		|e 10,11-13,14-16
}
18. (P | S) | (R | Q )		|e 1,2-9,10-17

""""
"
(P->Q)|Q |- P->Q,"
Prova:""""

1. (P -> Q) | Q		pre
2. { P			hip
3.{(P -> Q)		hip
4. Q			->e 2,3
}
5. { Q			hip
6. Q			copie 5
}
7. Q			|e 1,3-4,5-6
}
8. P -> Q		->i 2-7

""""
"
P|Q |- (P->Q)->Q,"
Prova:""""

1.  P | Q		pre
2. { P -> Q		hip
3. { P			hip
4. Q			->e 3,2
}
5. { Q			hip
6. Q			copie 5
}
7. Q			|e 1,3-4,5-6
}
8. (P -> Q) -> Q	->i 2-7

""""
"
(P->Q)|(P->R) |- P->(Q|R),"
Prova:""""

1. (P -> Q) | (P -> R)	pre
2. { P			hip
3. { (P -> Q)		hip
4. Q			->e 2,3
5. Q | R		|i 4
}
6. { (P -> R)		hip
7. R			->e 2,6
8. Q|R			|i 7
}
9. Q|R			|e 1,3-5,6-8
}
10. P  -> (Q | R)	->i 2-9

""""
"
(P->Q)&(Q->P) |- (P|Q)->(P&Q),"
Prova:""""

1. (P -> Q) & (Q -> P)		pre
2. (P -> Q)			&e 1
3. (Q -> P)			&e 1
4. { P | Q			hip
5. { P				hip
6. Q				->e 5,2
7. P&Q				&i 5,6
}
8. { Q				hip
9. P				->e 8,3
10. P&Q				&i 8,9
}
11. P&Q				|e 4,5-7,8-10
}
12. (P|Q) -> (P&Q)		->i 4-11

""""
"
(P|Q)->(Q&P) |- (P->Q)&(Q->P),"
Prova:""""

1. (P | Q) -> (Q & P)		pre
2. { P				hip
3. P | Q			|i 2
4. Q&P				->e 3,1
5. Q				&e 4
}
6. P -> Q			->i 2-5
7. { Q				hip
8. P | Q			|i 7
9. Q&P				->e 8,1
10. P				&e 9
}
11. Q -> P			->i 7-10
12. (P -> Q) & (Q->P)		&i 6,11

""""
"
(Q->R)&(Q|P) |- (P->Q)->(R&Q),"
Prova:""""

1. (Q -> R) & (Q | P)		pre
2. Q -> R			&e 1
3. Q | P			&e 1
4. { P -> Q			hip
5. { Q				hip
6. Q				copie 5
}
7. { P				hip
8. Q				->e 7,4
}
9. Q				|e 3,5-6,7-8
10. R				->e 9,2
11. R & Q			&i 10,9
}
12. (P -> Q) -> (R & Q)		->i 4-11

""""
"
~(P->Q) |- P,"
Prova:""""

1.~(P -> Q)	pre
2.{~P		hip
3.	{P 	hip
4.	 @	~e 2,3
5.	 Q 	@e 4
		}
6.       P -> Q ->i 3-5
7.	@ 	~e 1,6
}
8. 	P   	raa 2-7

""""
"
~P |- ~(P&Q),"
Prova:""""

1. ~P			pre
2. { P & Q		hip
3.   P			&e 2
4.   @			~e 1,3
}
5. ~(P & Q)		~i 2-4

""""
"
P->~P |- ~P,"
Prova:""""

1. P -> ~P	pre
2. { P		hip
3.   ~P		->e 2,1
4.   @		~e 2,3
}
5. ~P		~i 2-4

""""
"
~(P->Q) |- ~Q,"
Prova:""""

1. ~(P->Q)	pre
2. { Q		hip
3.     { P	hip
4. 	 Q	copie 2
	}
5.     P -> Q  ->i 3-4
6.     @	~e 1,5
}
7. ~Q		~i 2-6

""""
"
~(P&Q) |- P->~Q,"
Prova:""""

1. ~(P&Q)	pre
2. { P		hip
3.  { Q		hip
4.    P&Q	&i 2,3
5.    @		~e 1,4
}
6.   ~Q		~i 3-5
}
7. P -> ~Q	->i 2-6

""""
"
|- ~((P&~P)|(Q&~Q)),"
Prova:""""

1. {(P &~P) | (Q&~Q)	hip
2. { (P&~P)		hip
3. P			&e 2
4. ~P			&e 2
5. @			~e 3,4
6. ~((P&~P) | (Q&~Q))	@e 5
}
7. { (Q&~Q)		hip
8. Q			&e 7
9. ~Q			&e 7
10. @			~e 8,9
11. ~((P&~P) | (Q&~Q))	@e 10
}
12.  ~((P&~P) | (Q&~Q)) |e 1,2-6,7-11
13. @			~e 1,12
}
14.  ~((P&~P) | (Q&~Q))	~i 1-13

""""
"
~P |- P->Q,"
Prova:""""

1. ~P		pre
2. { P		hip
3. @		~e 1,2
4. Q		@e 3
}
5. P ->Q	->i 2-4

""""
"
P&~P |- Q,"
Prova:""""

1. P & ~P	pre
2. P		&e 1
3. ~P		&e 1
4. @		~e 2,3
5. Q		@e 4

""""
"
"P->Q, P&~Q |- R","
Prova:""""

1. P -> Q	pre
2. P&~Q		pre
3. P		&e 2
4. ~Q		&e 2
5. Q 		->e 1,3
6. @		~e 4,5
7. R		@e 6

""""
"
(P->Q)->P |- P,"
Prova:""""

1. (P->Q) -> P		pre
2. { ~P			hip
3.   {P			hip
4.   @			~e 2,3
5.   Q			@e 4
}
6. P -> Q		->i 3-5
7. P			->e 1,6
8. @			~e  2,7
}
9.  P			raa 2-8

""""
"
(P->Q)->Q |- ~Q->P,"
Prova:""""

1. (P->Q) -> Q 		pre
2. { ~Q			hip
3.   { ~P		hip
4.	{ P		hip
5.	@		~e 3,4
6.	Q		@e 5
	}
7.   P->Q		->i 4-6
8.   Q			->e 1,7
9.   @			~e 2,8
}
10.  P			raa 3-9
}
11. ~Q ->P		->i 2-10

""""
"
|- P|(P->Q),"
Prova:""""

1. { ~(P | ( P -> Q ))		hip
2.  { P				hip
3.    P | ( P -> Q )		|i 2
4.	@			~e 1,3
}
5.	~P			~i 2-4
6.      { P			hip
7.	@			~e 5,6
8.	Q			@e 7
	}
9.   P -> Q			->i 6-8
10.  P | ( P -> Q )		|i 9
11.  @				~e 1,10
}
12. P | (P -> Q)		raa 1-11

""""
"
|- (P->Q)|(Q->R),"
Prova:""""

1. { ~((P->Q) | (Q->R))		hip
2.  { Q				hip
3.   { P			hip
4.	Q			copie 2
	 }
5.   P->Q			->i 3-4
6.   (P->Q) | (Q->R)		|i 5
7.   @				~e 1,6
8.   ~Q				@e 7
9.   @				~e 2,8
10.  R				@e 9
	}
11. Q->R			->i 2-10
12. (P->Q) | (Q->R)		|i 11
13.  @				~e 1,12
  }
14.  (P->Q) | (Q->R)		raa 1-13

""""
"
"~P->Q, R|~Q, P->(M|N), ~R&~N |- M","
Prova:""""

1. ~P -> Q		pre
2. R | ~Q		pre
3. P-> (M|N)		pre
4. ~R & ~N 		pre
5. ~R			&e 4
6. ~N			&e 4
7. R|~Q			copie 2
8.   { R		hip
9.     @		~e 5,8
10.    ~Q		@e 9
}
11.  { ~Q		hip
12.    ~Q		copie 11
	 }
13. ~Q			|e 7,8-10,11-12
14. { ~P		hip
15.   Q			->e 1,14
16.  @			~e 13,15
}
17. P			raa 14-16
18. M|N			->e 3,17
19. { M			hip
20.   M			copie 19
}
21. { N			hip
22.   @			~e 6,21
23.   M			@e 22
	 }
24. M			|e 18,19-20,21-23

""""
"
P->(Q|R) |- (P->Q)|(P->R),"
Prova:""""

1. P -> (Q|R)			pre
2. {~((P ->Q) | (P->R))		hip
3.  { P				hip
4.   Q|R			->e 1,3
5.  { Q				hip
6.   { P			hip
7.     Q			copie 5
	 }
8.  P->Q			->i 6-7
9.  (P ->Q) | (P->R)		|i 8
	}
10. { R				hip
11.  { P			hip
12.    R			copie 10
	 }
13.  P->R			->i 11-12
14.  (P ->Q) | (P->R)		|i  13
	 } 
15.  (P ->Q) | (P->R)		|e 4,5-9,10-14
16.   @				~e 2,15
17.   Q				@e 16
} 
18.  P->Q			->i 3-17
19.  (P ->Q) | (P->R)		|i 18
20.   @				~e 2,19
	}
21. (P ->Q) | (P->R)		raa 2-20

""""
"
P->(Q->R) |- (P&Q)->R,"
Prova:""""

1. P->(Q->R)		pre
2. { P&Q		hip
3.   P			&e 2
4.   Q			&e 2
5.   Q->R               ->e 3,1
6.   R			->e 4,5
	}
7. (P&Q) -> R           ->i 2-6

""""
"
P&(~Q->~P) |- ~P|(Q&P),"
Prova:""""

1. (P&(~Q->~P))			pre
2. P				&e 1
3. (~Q->~P)			&e 1
4. { ~Q				hip
5.   ~P				->e 4,3
6.   @				~e 2,5
	}
7. Q				raa 4-6
8. Q & P			&i 7,2
9. (~P|(Q&P))			|i 8

""""
"
"(P&Q)->(Q&R), R->~P |- P->~Q","
Prova:""""

1. ((P&Q)->(Q&R))		pre
2. (R->~P) 			pre
3. { P				hip
4.  { Q				hip
5.    (P&Q)			&i 3,4
6.    (Q&R)			->e 5,1
7.    R				&e 6
8.    ~P			->e 7,2
9.    @				~e  3,8
	}
10. ~Q				~i 4-9
   }
11. (P->~Q)			->i 3-10

""""
"
"~S->~R, (P&Q)|R, ~S->~Q |- ~P|S","
Prova:""""

1. (~S->~R)				pre
2. ((P&Q)|R)				pre
3. (~S->~Q)				pre
4. { (P&Q)				hip
5.   Q					&e 4
6.   { ~S				hip
7.     ~Q				->e 6,3
8.     @				~e 5,7
	  }
9.   S					raa 6-8
	}
10. { R					hip
11.   { ~S				hip
12.      ~R				->e 1,11
13.      @				~e 10,12
	   }
14.   S					raa 11-13
	 }
15. S					|e 2,4-9,10-14
16. (~P|S)				|i 15

""""
"
"~P->(Q&R), ~(R|P) |- ~Q","
Prova:""""

1. (~P -> ( Q &R ))			pre
2. ~( R | P )				pre
3. { P					hip
4.   R|P				|i 3
5.   @					~e 2,4
   }
6. ~P 					~i 3-5
7. (Q&R)				->e 6,1
8. R					&e 7
9. R|P					|i 8
10. @					~e 9,2
11. ~Q					@e 10

""""
"
Q->(Q&~Q) |- ~Q,"
Prova:""""

1. Q -> (Q&~Q)		pre
2. { Q			hip
3.   Q & ~Q		->e 1,2
4.   ~Q			&e 3
5.   @			~e 2,4
}
6. ~Q			~i 2-5

""""
"
"~F->G, F->H |- G|H","
Prova:""""

1. ~F -> G		pre
2. F-> H		pre
3. { ~(G|H)		hip
4.  { F			hip
5.    H			->e 2,4
6.    G|H		|i 5
7.    @			~e 3,6
	 }
8.  ~F			~i 4-7
9.  G			->e 1,8
10. G|H			|i 9
11. @			~e 3,10
}
12. G|H			raa 3-11

""""
"
"(Z&K)|(K&M), K->D |- D","
Prova:""""

1. ( Z & K ) | ( K & M )		pre
2. K -> D				pre
3. { Z & K 				hip
4.   K					&e 3
5.   D					->e 2,4
   }
6. { K & M				hip
7.   K					&e 6
8.   D					->e 2,7
   }
9. D					|e 1,3-5,6-8

""""
"
"P&(Q|R), P->~R |- Q|E","
Prova:""""

1. P & (Q | R)			pre
2. P -> ~R			pre
3. P				&e 1
4. ~R				->e 2,3
5. Q|R				&e 1
6. { Q				hip
7.   Q|E			|i 6
}
8.  { R				hip
9.    @				~e 4,8
10.   Q|E			@e 9
}
11. Q | E			|e 5,6-7,8-10

""""
"
"P|Q, ~P |- Q","
Prova:""""

1. P | Q		pre
2. ~P			pre
3. {P			hip
4.  { ~Q		hip
5.    @			~e 2,3	
	 }
6.   Q			raa 4-5
}
7.  { Q			hip
8.    Q			copie 7
}
9. Q			|e 1,3-6,7-8

""""
"
"(P&Q)->R, Q->P, Q |- R","
Prova:""""

1. P & Q -> R			pre
2. Q -> P			pre
3. Q				pre
4. P				->e 2,3
5. P&Q				&i 4,3
6. R				->e 1,5

""""
"
"P->Q, Q->R |- P->(Q&R)","
Prova:""""

1. P -> Q 			pre
2. Q -> R			pre
3. {P				hip
4.  Q				->e 1,3
5.  R				->e 2,4
6.  Q&R				&i 4,5
   }
7. P-> (Q&R)			->i 3-6

""""
"
"(L&M)->~P, I->P, M, I |- ~L","
Prova:""""

1. L & M -> ~P			pre
2.  I-> P			pre
3.  M				pre
4. I				pre
5. {L				hip
6. L&M				&i 5,3
7. ~P				->e 1,6
8. P				->e 2,4
9. @				~e  7,8
}
10. ~L				~i 5-9

""""
"
"P->Q, P->(Q->R) |- P->R","
Prova:""""

1. P -> Q				pre
2. P -> (Q -> R)			pre
3. { P					hip
4.  Q					->e 1,3
5.  Q->R				->e 2,3
6.  R					->e 5,4
}
7. P -> R				->i 3-6

""""
"
